time,close,high,low,open,volumefrom,volumeto
1555027200,5081.5,5118.61,4927.62,5048.56,43762.94,220667543.59
1555113600,5080.66,5128.96,5056.19,5081.5,23342.24,118956124.9
1555200000,5165.59,5186.82,5031.2,5080.66,21193.03,108148233.81
1555286400,5037.27,5195.31,4969.31,5165.59,40402.46,205867031.18
1555372800,5212.81,5232.03,5029.16,5037.27,40370,207311534.31
1555459200,5236.26,5270.76,5190.81,5212.81,37225.68,194699629.15
1555545600,5289.75,5317.78,5232.99,5236.26,35511.12,187312150.44
1555632000,5295.53,5353.01,5212.18,5289.75,30109.97,158699049.55
1555718400,5326.18,5366.6,5274.45,5295.53,23214.49,123577001.56
1555804800,5305.74,5348.59,5232.77,5326.18,25466.81,134681237.4
1555891200,5394.67,5444.76,5265.73,5305.74,45346.65,242498187.66
1555977600,5539.1,5626.83,5371.31,5394.67,66448.85,368556751.66
1556064000,5454.58,5633,5390.98,5539.1,61651.16,339093001.24
1556150400,5162.67,5521.61,5031.69,5454.58,70755.72,374798664.87
1556236800,5234.09,5361.94,5104.18,5162.67,70191.21,366773360.18
1556323200,5229.48,5282.97,5192.45,5234.09,21692.98,113430273.96
1556409600,5272.45,5313.7,5218.42,5233.47,25294.87,133564683.52
1556496000,5237.96,5299.51,5162.81,5272.45,31947.44,167206787.27
1556582400,5350.64,5372.23,5224.64,5237.96,32567.46,172540196.26
1556668800,5389.54,5417.17,5346.7,5350.64,27410.57,147345369.73
1556755200,5500.72,5531.15,5387.29,5389.54,35089.37,192256639.91
1556841600,5753.38,5891.9,5484.78,5500.72,75434.86,432335283.61
1556928000,5840.08,5901.36,5596.15,5753.38,45628.34,263390273.68
1557014400,5794.14,5849.5,5709.74,5840.08,25481.48,147662500.76
1557100800,5748.17,5823.67,5644.15,5794.14,34979.71,200316185.51
1557187200,5819.57,6031.54,5748.17,5748.17,59556.89,353043890.95
1557273600,5998.71,6032.25,5753.08,5819.57,40967.62,241917027.36
1557360000,6171.96,6194.91,5988.65,5998.71,51005.27,310336580.16
1557446400,6358.29,6444.57,6133.21,6171.96,68160.13,430403405.14
1557532800,7191.36,7394.94,6357.02,6358.29,135248.42,933141315.95
1557619200,6977.63,7541.61,6793.21,7191.36,142892.25,1023203366.46
1557705600,7806.36,8127.75,6873.42,6977.63,149082.57,1140302646.6
1557792000,7980.13,8297.02,7631.34,7806.36,122383.06,976094121.29
1557878400,8183.83,8263.29,7849.92,7980.13,86162.62,694202804.31
1557964800,7874.11,8352.25,7679.05,8183.83,95341.68,762104107.69
1558051200,7371.96,7930.98,6668.67,7874.11,141482.93,1023961962.83
1558137600,7266.08,7491.67,7213.72,7371.96,41327.89,303317486.98
1558224000,8193.14,8281.66,7257.26,7266.08,91218.12,723011166.2
1558310400,7998.29,8193.14,7591.85,8193.14,80672.83,637617163.27
1558396800,7947.93,8102.32,7807.77,7998.29,45005.01,357803946.85
1558483200,7626.89,8033.76,7533.66,7947.93,54216.74,424501866.33
1558569600,7876.5,7971.26,7478.74,7626.89,50121.07,386766321.19
1558656000,7996.4,8165.45,7801.57,7876.5,51604.15,413162746.86
1558742400,8059.13,8140.82,7948.68,7996.4,22294.65,179206342.03
1558828800,8726.23,8779,7894.53,8059.13,57648.95,483663699.62
1558915200,8785.17,8931.53,8668.46,8726.23,57692.17,507164714.76
1559001600,8718.85,8818.71,8562.2,8785.17,41445.13,360752199.95
1559088000,8664.56,8760.48,8444.1,8718.85,44056.71,380343928.72
1559174400,8276.25,9065.89,8027.21,8664.56,95189.06,815525590.67
1559260800,8550.67,8570.78,8116,8276.25,60143.23,502056527.56
1559347200,8555.87,8619.21,8459.65,8550.67,26884.15,229736992.43
1559433600,8737.91,8819.9,8547.48,8555.87,25506.14,221708083.06
1559520000,8114.49,8740.24,8073.18,8737.91,63486.15,534972187.72
1559606400,7677.47,8114.49,7463.94,8114.49,103552.9,809220381.24
1559692800,7791.29,7917.14,7591.88,7677.47,49771.65,387021977.02
1559779200,7807.36,7872.1,7467.52,7791.29,44397.47,342084400.02
1559865600,8002.63,8127.63,7767.37,7807.36,51105.14,407241297.23
1559952000,7933.78,8058.91,7796.46,8002.63,23469.94,186055499.51
1560038400,7643.44,7964.75,7535.9,7933.78,30301.73,234551796.21
1560124800,8021,8061.5,7533.53,7643.44,43154.98,339520552.04
1560211200,7917.32,8049.78,7724.58,8021,35850.45,282632009.38
1560297600,8174.14,8250,7834.57,7917.32,49460.34,399065678.38
1560384000,8235.57,8326.2,8053.65,8174.14,38536.25,315594036.87
1560470400,8693.96,8724.42,8180.39,8235.57,50383.98,424131990.84
1560556800,8853.56,8905.14,8621.48,8693.96,38140.15,333656492.38
1560643200,8979.18,9372.89,8800.96,8853.56,84289.2,767025702.52
1560729600,9336.01,9468.85,8976.99,8979.18,65486.04,606269265.79
1560816000,9081.71,9357.22,8941.83,9336.01,51829.13,473016555.83
1560902400,9280.54,9313.18,9045.47,9081.71,32012.68,293070485.25
1560988800,9536.85,9600.28,9219.81,9280.54,45144.43,424436854.57
1561075200,10218.87,10230.86,9536.85,9536.85,77828.7,765543626.6
1561161600,10689.54,11207.97,10086.32,10218.87,115793.98,1240328392.49
1561248000,10855.99,11285.51,10513.81,10689.54,57082.02,619160985.99
1561334400,11035.74,11100.92,10555.71,10855.99,52118.36,565444720.43
1561420800,11740.34,11778.22,10992.37,11035.74,84123.73,953962631.15
1561507200,12913.28,13826.76,11679.1,11740.34,211449.88,2685872365.1
1561593600,11154.09,13314.05,10335.34,12913.28,202428.68,2345027203.81
1561680000,12355.06,12433,10772.75,11154.09,120700.97,1408438810.31
1561766400,11884.1,12362.9,11352.27,12355.06,81875.16,968516834.6
1561852800,10769.05,12200.02,10677.83,11884.1,80893.36,917158052.37
1561939200,10591.87,11207,10006.43,10769.05,115739.97,1225129699.57
1562025600,10844.13,10927.6,9678.1,10591.87,120994.95,1239524970.43
1562112000,11981.61,12009.59,10841.91,10844.13,115565.16,1313585829.89
1562198400,11156.52,12055.11,11067.68,11981.61,71141.03,831236841.56
1562284800,10993.25,11435.38,10787.94,11156.52,66066.75,734424868.07
1562371200,11248.94,11709.27,10985.4,10993.25,48172.2,549769169.13
1562457600,11474.28,11605.43,11109.42,11248.94,36847.21,418161890.29
1562544000,12296.16,12386.28,11339.02,11474.28,63847.27,762033323.29
1562630400,12567.02,12808.06,12117.31,12296.16,79607.47,993891866.34
1562716800,12099.12,13183.73,11569.94,12567.02,124523.09,1554955347.89
1562803200,11343.12,12099.91,11002.39,12099.12,102929.11,1185222449.66
1562889600,11797.37,11931.91,11096.61,11343.12,55994.89,647690095.15
1562976000,11363.97,11835.87,10827.53,11797.37,59187.84,668325183.28
1563062400,10204.41,11447.92,10118.85,11363.97,76310.21,814667763.32
1563148800,10850.26,11070.18,9877.02,10204.41,92742.77,965178341.63
1563235200,9423.44,11025.76,9366.82,10850.26,113537.84,1140137759.72
