Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
21-May-2019,184.820000,+2.100000,+1.149299%,184.570000,183.885000,185.700000,"7,502,820","1,386,859,768.979990"
22-May-2019,185.320000,+0.500000,+0.270533%,184.730000,183.610000,186.740000,"9,213,801","1,710,337,498.519390"
23-May-2019,180.870000,-4.450000,-2.401252%,182.420000,179.670000,183.900000,"12,768,835","2,315,868,087.857190"
24-May-2019,181.060000,+0.190000,+0.105048%,182.330000,180.830000,183.630000,"8,807,701","1,603,309,635.481890"
28-May-2019,184.310000,+3.250000,+1.794985%,181.540000,181.453700,184.711900,"14,843,308","2,729,792,375.560690"
29-May-2019,182.190000,-2.120000,-1.150236%,183.500000,181.350000,184.560000,"12,797,685","2,337,365,965.551390"
30-May-2019,183.010000,+0.820000,+0.450080%,183.080000,180.890000,183.480000,"8,581,544","1,564,807,870.191490"
31-May-2019,177.470000,-5.540000,-3.027157%,180.280000,177.160000,180.540000,"15,226,536","2,714,579,672.931690"
03-Jun-2019,164.150000,-13.320000,-7.505494%,175.000000,161.010000,175.050000,"56,059,609","9,310,336,396.642290"
04-Jun-2019,167.500000,+3.350000,+2.040816%,163.710000,160.840000,168.280000,"46,044,256","7,579,037,043.540490"
05-Jun-2019,168.170000,+0.670000,+0.400000%,167.480000,164.630000,168.720000,"19,758,317","3,301,859,304.892190"
06-Jun-2019,168.330000,+0.160000,+0.095142%,168.300000,167.230000,169.700000,"12,446,354","2,097,600,066.686090"
07-Jun-2019,173.350000,+5.020000,+2.982237%,170.170000,168.840000,173.870000,"16,917,343","2,916,723,479.609290"
10-Jun-2019,174.820000,+1.470000,+0.847995%,174.750000,173.800000,177.860000,"14,767,918","2,595,154,028.199890"
11-Jun-2019,178.100000,+3.280000,+1.876216%,178.480000,176.790000,179.980000,"15,266,644","2,722,795,811.149390"
12-Jun-2019,175.040000,-3.060000,-1.718136%,178.380000,172.880000,179.270000,"17,699,806","3,103,287,713.217390"
13-Jun-2019,177.470000,+2.430000,+1.388254%,175.530000,174.606000,178.030000,"12,253,569","2,167,391,991.311390"
14-Jun-2019,181.330000,+3.860000,+2.175015%,180.510000,180.000000,181.839800,"16,773,691","3,034,991,877.813490"
17-Jun-2019,189.010000,+7.680000,+4.235372%,185.010000,184.410500,189.500000,"29,459,881","5,518,753,993.402990"
18-Jun-2019,188.470000,-0.540000,-0.285699%,194.000000,187.280000,194.530000,"37,571,352","7,160,964,714.474990"
19-Jun-2019,187.480000,-0.990000,-0.525283%,187.000000,184.550000,188.100000,"21,417,092","3,986,386,605.795390"
20-Jun-2019,189.530000,+2.050000,+1.093450%,190.950000,187.640000,191.160000,"14,635,740","2,767,635,431.298790"
21-Jun-2019,191.140000,+1.610000,+0.849470%,188.750000,188.750000,192.000000,"22,751,159","4,340,948,729.724290"
24-Jun-2019,192.600000,+1.460000,+0.763838%,192.420000,191.570000,193.980000,"15,508,955","2,991,750,620.870090"
25-Jun-2019,188.840000,-3.760000,-1.952233%,192.880000,188.130000,193.140000,"16,750,309","3,175,903,570.572390"
26-Jun-2019,187.660000,-1.180000,-0.624868%,189.540000,187.310000,190.760000,"12,808,604","2,415,916,728.978890"
27-Jun-2019,189.500000,+1.840000,+0.980497%,189.880000,188.270000,189.950000,"11,158,983","2,112,092,166.890490"
28-Jun-2019,193.000000,+3.500000,+1.846966%,190.550000,189.940000,193.200000,"16,378,878","3,145,134,916.281590"
01-Jul-2019,193.000000,0.000000,0.000000%,195.210000,191.930000,195.280000,"14,204,690","2,750,503,751.190190"
02-Jul-2019,195.000000,+2.000000,+1.036269%,193.000000,192.710000,195.000000,"9,049,979","1,757,577,576.706190"
03-Jul-2019,197.200000,+2.200000,+1.128205%,194.160000,194.160000,197.400000,"10,246,119","2,013,600,875.631690"
05-Jul-2019,196.400000,-0.800000,-0.405680%,196.180000,194.170000,197.070000,"11,164,107","2,184,650,585.862090"
08-Jul-2019,195.760000,-0.640000,-0.325866%,195.190000,193.640000,196.680000,"9,723,858","1,898,664,228.773390"
09-Jul-2019,199.210000,+3.450000,+1.762362%,194.970000,194.890000,199.460000,"14,698,611","2,913,823,612.490790"
10-Jul-2019,202.730000,+3.520000,+1.766980%,200.000000,199.670000,202.960000,"20,571,702","4,145,130,086.168290"
11-Jul-2019,201.230000,-1.500000,-0.739900%,203.260000,200.210000,203.800000,"13,678,457","2,758,921,421.901590"
12-Jul-2019,204.870000,+3.640000,+1.808875%,199.680000,199.160000,205.300000,"15,366,272","3,112,250,509.626090"
15-Jul-2019,203.910000,-0.960000,-0.468590%,204.250000,201.820000,205.330000,"16,030,335","3,268,023,128.500290"
