Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
30-Jul-2019,175.450000,+0.630000,+0.360371%,172.900000,172.390000,175.920000,"1,374,935","239,857,646.325000"
31-Jul-2019,168.720000,-6.730000,-3.835851%,174.180000,167.030000,174.210000,"2,529,734","431,761,971.195000"
01-Aug-2019,164.920000,-3.800000,-2.252252%,169.140000,162.880000,172.780000,"3,121,632","521,537,267.660000"
02-Aug-2019,161.190000,-3.730000,-2.261703%,161.190000,159.290000,163.980000,"2,932,261","472,243,221.810000"
05-Aug-2019,150.790000,-10.400000,-6.452013%,153.800000,148.910000,153.850000,"4,196,252","634,597,783.420000"
06-Aug-2019,152.350000,+1.560000,+1.034551%,153.800000,150.480000,155.600000,"2,290,634","349,178,937.880000"
07-Aug-2019,153.890000,+1.540000,+1.010830%,149.900000,149.210000,154.350000,"2,852,616","435,743,743.855000"
08-Aug-2019,158.260000,+4.370000,+2.839691%,156.150000,153.900000,158.310000,"2,353,842","369,794,609.905000"
09-Aug-2019,154.180000,-4.080000,-2.578036%,156.580000,152.170000,156.730000,"2,106,046","324,630,254.205000"
12-Aug-2019,151.450000,-2.730000,-1.770658%,152.030000,150.590000,154.150000,"2,166,154","329,054,825.590000"
13-Aug-2019,156.050000,+4.600000,+3.037306%,150.900000,149.850000,157.860000,"2,356,477","366,277,213.080000"
14-Aug-2019,150.070000,-5.980000,-3.832105%,152.820000,148.400000,152.950000,"2,641,098","397,409,194.725000"
15-Aug-2019,148.770000,-1.300000,-0.866262%,151.170000,147.400000,151.610000,"3,677,147","554,913,692.475000"
16-Aug-2019,159.560000,+10.790000,+7.252806%,159.450000,156.900000,161.530000,"5,685,430","905,125,354.785000"
19-Aug-2019,170.780000,+11.220000,+7.031838%,164.120000,163.470000,171.420000,"5,161,997","871,418,998.180000"
20-Aug-2019,167.870000,-2.910000,-1.703947%,170.500000,167.040000,170.560000,"2,594,264","436,463,356.630000"
21-Aug-2019,171.230000,+3.360000,+2.001549%,170.530000,169.670000,173.440000,"2,429,381","417,121,397.145000"
22-Aug-2019,171.480000,+0.250000,+0.146002%,171.620000,169.930000,173.300000,"1,824,211","313,187,576.625000"
23-Aug-2019,162.440000,-9.040000,-5.271752%,168.490000,161.640000,170.590000,"3,925,199","644,485,434.990000"
26-Aug-2019,165.450000,+3.010000,+1.852992%,165.700000,163.910000,166.580000,"1,878,843","310,678,182.205000"
27-Aug-2019,161.800000,-3.650000,-2.206105%,166.990000,160.650000,167.060000,"1,730,182","281,785,184.615000"
28-Aug-2019,161.220000,-0.580000,-0.358467%,160.580000,159.040000,163.330000,"1,550,650","250,147,807.860000"
29-Aug-2019,167.000000,+5.780000,+3.585163%,165.000000,164.760000,168.300000,"2,083,907","347,844,633.885000"
30-Aug-2019,167.510000,+0.510000,+0.305389%,168.920000,166.800000,170.860000,"1,930,801","324,895,920.110000"
03-Sep-2019,164.170000,-3.340000,-1.993911%,164.520000,163.300000,165.880000,"2,056,809","337,846,512.085000"
04-Sep-2019,168.760000,+4.590000,+2.795882%,166.610000,166.610000,169.020000,"1,673,371","281,574,518.600000"
05-Sep-2019,179.740000,+10.980000,+6.506281%,172.930000,172.910000,179.990000,"4,417,876","786,014,132.590000"
06-Sep-2019,178.650000,-1.090000,-0.606432%,179.000000,177.120000,181.080000,"2,059,111","368,375,859.825000"
09-Sep-2019,180.500000,+1.850000,+1.035544%,179.990000,179.860000,183.980000,"2,805,298","508,825,137.925000"
10-Sep-2019,183.180000,+2.680000,+1.484765%,179.180000,178.790000,184.220000,"2,281,458","415,278,910.885000"
11-Sep-2019,184.330000,+1.150000,+0.627798%,183.770000,182.620000,186.270000,"2,573,060","475,019,244.890000"
12-Sep-2019,184.270000,-0.060000,-0.032550%,186.020000,183.950000,188.370000,"2,110,717","392,500,205.610000"
13-Sep-2019,181.940000,-2.330000,-1.264449%,181.520000,180.220000,183.060000,"2,016,412","366,512,508.395000"
16-Sep-2019,180.210000,-1.730000,-0.950863%,178.920000,178.500000,181.550000,"1,624,609","292,894,272.160000"
17-Sep-2019,181.070000,+0.860000,+0.477221%,180.270000,178.630000,181.220000,"1,442,012","259,853,003.085000"
18-Sep-2019,179.980000,-1.090000,-0.601977%,180.790000,176.510000,181.350000,"1,835,791","329,571,195.090000"
19-Sep-2019,176.940000,-3.040000,-1.689077%,180.000000,176.530000,180.900000,"1,843,643","328,526,847.895000"
20-Sep-2019,172.690000,-4.250000,-2.401944%,177.000000,172.280000,177.850000,"3,333,425","582,460,578.275000"
23-Sep-2019,174.840000,+2.150000,+1.245006%,172.700000,172.550000,176.670000,"1,706,829","298,758,608.135000"
24-Sep-2019,172.530000,-2.310000,-1.321208%,176.100000,171.190000,177.290000,"2,054,374","356,332,415.445000"
25-Sep-2019,178.230000,+5.700000,+3.303773%,172.270000,170.740000,179.000000,"2,051,768","361,596,337.315000"
26-Sep-2019,177.340000,-0.890000,-0.499355%,177.840000,175.290000,178.120000,"1,791,025","316,992,730.430000"
27-Sep-2019,171.760000,-5.580000,-3.146498%,175.660000,169.330000,177.660000,"2,450,046","423,921,583.165000"
30-Sep-2019,174.070000,+2.310000,+1.344900%,172.800000,171.640000,174.470000,"1,275,101","221,244,696.980000"
