Exchange Date,Close,Net,%Chg,Open,Low,High,Volume
31-May-2019,"7,127.956",-117.447,-1.621%,"7,148.709","7,125.974","7,183.229","183,953,224"
03-Jun-2019,"6,978.017",-149.939,-2.104%,"7,110.344","6,936.682","7,126.427","245,980,650"
04-Jun-2019,"7,166.747",+188.730,+2.705%,"7,056.182","7,023.095","7,169.791","217,168,553"
05-Jun-2019,"7,220.903",+54.156,+0.756%,"7,230.814","7,146.434","7,235.229","181,764,738"
06-Jun-2019,"7,275.927",+55.024,+0.762%,"7,229.860","7,201.586","7,293.222","172,720,381"
07-Jun-2019,"7,417.291",+141.364,+1.943%,"7,315.331","7,309.006","7,445.993","176,533,749"
10-Jun-2019,"7,501.929",+84.638,+1.141%,"7,472.595","7,468.165","7,572.996","176,903,492"
11-Jun-2019,"7,513.849",+11.920,+0.159%,"7,584.751","7,489.991","7,595.568","162,195,211"
12-Jun-2019,"7,472.294",-41.555,-0.553%,"7,493.548","7,459.201","7,507.519","141,899,078"
13-Jun-2019,"7,510.683",+38.389,+0.514%,"7,500.846","7,487.091","7,530.905","140,049,685"
14-Jun-2019,"7,479.111",-31.572,-0.420%,"7,476.470","7,454.867","7,500.742","152,294,433"
17-Jun-2019,"7,526.519",+47.408,+0.634%,"7,500.276","7,492.168","7,546.990","147,033,030"
18-Jun-2019,"7,635.400",+108.881,+1.447%,"7,606.612","7,595.594","7,689.076","197,019,414"
19-Jun-2019,"7,667.738",+32.338,+0.424%,"7,652.520","7,606.284","7,681.561","166,280,389"
20-Jun-2019,"7,738.055",+70.317,+0.917%,"7,770.172","7,681.427","7,770.608","170,378,377"
21-Jun-2019,"7,728.782",-9.273,-0.120%,"7,719.424","7,708.245","7,772.533","385,157,240"
24-Jun-2019,"7,723.021",-5.761,-0.075%,"7,737.005","7,720.779","7,746.677","153,058,833"
25-Jun-2019,"7,591.536",-131.485,-1.703%,"7,720.913","7,584.165","7,723.038","173,042,969"
26-Jun-2019,"7,627.051",+35.515,+0.468%,"7,642.917","7,616.911","7,688.638","192,599,019"
27-Jun-2019,"7,657.048",+29.997,+0.393%,"7,656.680","7,636.724","7,672.978","150,213,344"
28-Jun-2019,"7,671.075",+14.027,+0.183%,"7,674.518","7,639.445","7,682.260","318,502,710"
01-Jul-2019,"7,768.138",+97.063,+1.265%,"7,816.561","7,735.668","7,820.809","182,628,672"
02-Jul-2019,"7,799.824",+31.686,+0.408%,"7,763.031","7,746.010","7,800.473","139,653,383"
03-Jul-2019,"7,857.690",+57.866,+0.742%,"7,819.063","7,811.291","7,857.690","111,138,143"
05-Jul-2019,"7,841.301",-16.389,-0.209%,"7,806.070","7,774.587","7,854.708","125,480,399"
08-Jul-2019,"7,785.787",-55.514,-0.708%,"7,790.461","7,756.109","7,792.204","143,854,437"
09-Jul-2019,"7,826.858",+41.071,+0.528%,"7,748.286","7,748.232","7,833.925","146,876,118"
10-Jul-2019,"7,903.401",+76.543,+0.978%,"7,869.734","7,858.677","7,923.932","165,084,059"
11-Jul-2019,"7,896.776",-6.625,-0.084%,"7,918.647","7,873.163","7,934.596","149,722,577"
12-Jul-2019,"7,943.241",+46.465,+0.588%,"7,908.576","7,900.389","7,944.076","178,331,771"
15-Jul-2019,"7,966.926",+23.685,+0.298%,"7,961.071","7,940.454","7,969.794","149,407,321"
16-Jul-2019,"7,927.077",-39.849,-0.500%,"7,958.440","7,904.946","7,965.760","139,650,198"
17-Jul-2019,"7,888.762",-38.315,-0.483%,"7,927.910","7,887.983","7,941.102","144,403,131"
18-Jul-2019,"7,904.132",+15.370,+0.195%,"7,850.117","7,827.491","7,912.331","156,444,096"
19-Jul-2019,"7,834.897",-69.235,-0.876%,"7,944.863","7,832.393","7,950.225","177,804,859"
